,company_name,industry,stock_exchange,stock_ticker_symbol,market_capital_euro,score
100,LKQ Corp.,Retailing,NAS,LKQ,11297323499.52,0.10745512961183618
101,"HP, Inc.",Technology Hardware,NYS,HPQ,34309487165.44,0.11280039442737584
102,"The AZEK Co., Inc.",Consumer Durables,NYS,AZEK,5906674380.8,0.1078158929917103
103,"Veris Residential, Inc.",Real Estate,NYS,VRE,1476672128.0,0.10678689217638403
104,"Insight Enterprises, Inc.",Technology Hardware,NAS,NSIT,6611458088.96,0.10797960013426693
105,"CarMax, Inc.",Retailing,NYS,KMX,11903833661.44,0.10920891300327341
106,"Cadence Design Systems, Inc.",Software & Services,NAS,CDNS,72211276103.68001,0.12483002748993967
107,"Cardinal Health, Inc.",Healthcare,NYS,CAH,21505116405.76,0.11305200195095819
108,Vontier Corp.,Technology Hardware,NYS,VNT,5808342425.6,0.10940595567335915
109,"Ventas, Inc.",Real Estate,NYS,VTR,19896910479.36,0.11267844791756415
110,"Quad/Graphics, Inc.",Commercial Services,NYS,QUAD,297688977.92,0.10973884445062683
111,"Cencora, Inc.",Healthcare,NYS,COR,40793288704.0,0.11914516136816904
112,Regency Centers Corp.,Real Estate,NAS,REG,11348136468.48,0.11230564212444728
113,STAAR Surgical Co.,Healthcare,NAS,STAA,1999223060.48,0.11013407674585943
114,"Johnson Outdoors, Inc.",Consumer Durables,NAS,JOUT,367146593.28,0.10975497806383006
115,"Williams-Sonoma, Inc.",Retailing,NYS,WSM,17758473666.56,0.11379463509260469
116,"Agilent Technologies, Inc.",Pharmaceuticals,NYS,A,35834085376.0,0.11960614096579779
117,Equity Residential,Real Estate,NYS,EQR,24290739568.64,0.11692485288296241
118,"Principal Financial Group, Inc.",Insurance,NAS,PFG,18859286609.92,0.11566323512206925
119,"S&P Global, Inc.",Diversified Financials,NYS,SPGI,141017890160.64,0.14565113580377087
120,Hewlett Packard Enterprise Co.,Technology Hardware,NYS,HPE,24882441175.04,0.11867519654348435
121,"La-Z-Boy, Inc.",Consumer Durables,NYS,LZB,1646018426.88,0.11489074405959335
122,Seagate Technology Holdings Plc,Technology Hardware,NAS,STX,20267551129.6,0.1192161532219956
123,"Essex Property Trust, Inc.",Real Estate,NYS,ESS,17365511372.8,0.1185420674980055
124,"Applied Materials, Inc.",Semiconductors,NAS,AMAT,167635463700.48,0.15344676836277135
125,American Homes 4 Rent,Real Estate,NYS,AMH,13953319280.64,0.11774948360198981
